"id","outline_name","investigator_id","site_id","Site","country","long","lat","Period","length","width","thickness","weight","reference"
"99_2","Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_2",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",93,13.5,3,,"Madsen 1992"
"99_1","Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_1",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",94.5,31.5,4.5,,"Madsen 1992"
,"Jels_99_1-6_Madsen_1992_blokke-og-flækker_60_6",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",,,,,"Madsen 1992"
,"Jels_99_1-6_Madsen_1992_blokke-og-flækker_60_2",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",,,,,"Madsen 1992"
,"Jels_99_1-6_Madsen_1992_blokke-og-flækker_60_1",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",,,,,"Madsen 1992"
"4_4","Boerneck-ost_Kotthaus_2019_blades_4","4_4","borneck","Borneck-Ost","DE",10.245,53.66,"Allerød/GI-1a-c ",83,25,,,"Kotthaus 2019"
"4_3","Boerneck-ost_Kotthaus_2019_blades_3","4_3","borneck","Borneck-Ost","DE",10.245,53.66,"Allerød/GI-1a-c ",66,24,,,"Kotthaus 2019"
"4_2","Boerneck-ost_Kotthaus_2019_blades_2","4_2","borneck","Borneck-Ost","DE",10.245,53.66,"Allerød/GI-1a-c ",74,23,,,"Kotthaus 2019"
"4_1","Boerneck-ost_Kotthaus_2019_blades_1","4_1","borneck","Borneck-Ost","DE",10.245,53.66,"Allerød/GI-1a-c ",102,25,,,"Kotthaus 2019"
"11_1","bromme_blades_1",18,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",78,18.8,,,"Mathiassen 1946"
"11_2","bromme_blades_2",19,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",65.3,13.5,,,"Mathiassen 1946"
"11_3","bromme_blades_3",20,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",72,21,,,"Mathiassen 1946"
"11_4","bromme_blades_4",21,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",60,16.5,,,"Mathiassen 1946"
"11_5","bromme_blades_5",22,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",56.3,12,,,"Mathiassen 1946"
"11_6","bromme_blades_6",23,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",64.5,15,,,"Mathiassen 1946"
"11_7","bromme_blades_7",24,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",46.5,15,,,"Mathiassen 1946"
"11_8","bromme_blades_8",25,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",46.5,16.5,,,"Mathiassen 1946"
"11_9","bromme_blades_9",26,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",36,9.8,,,"Mathiassen 1946"
"11_10","bromme_blades_10",27,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",40.5,9,,,"Mathiassen 1946"
"11_11","bromme_blades_11",28,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",34.5,9,,,"Mathiassen 1946"
"11_12","bromme_blades_12",29,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",34.5,7.5,,,"Mathiassen 1946"
"11_13","bromme_blades_13",30,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",32.3,9,,,"Mathiassen 1946"
"11_14","bromme_blades_14",31,"bromme","Bromme","DK","11.514","55.487","Allerød/GI-1a-c ",3,6.5,,,"Mathiassen 1946"
