count;id;investigator;investigator_id;code;site;country;classification;long;lat;negatives;cortex;ba_1_1;ba_1_2;ba_1_3;ba_1_4;ba_2_1;ba_2_2;ba_2_3;ba_3_1;ba_3_2;ba_3_3;ba_3_4;ba_4_1;ba_4_2;ba_4_3;ba_5_1;ba_5_2;ba_5_3;ba_6_1;ba_6_2;ba_6_3;ba_6_4;ba_6_5;ba_6_6;ba_7_1;ba_7_2;ba_7_3;ba_7_4;ba_7_5;ba_8_1;ba_9_1;ba_9_2;ba_9_3;ba_10_1;ba_10_2;ba_10_3;ba_10_4;ba_10_5;ba_10_6;ba_10_7;ba_11_1;ba_11_2;ba_11_3;ba_11_4;ba_11_5;ba_12_1;ba_12_2;ba_12_3;ba_12_4;ba_12_5;ba_12_6;ba_12_7;ba_13_1;ba_13_2;ba_14_1;ba_14_2;ba_14_3;ba_15_1;length;width;prox.thick;mes.thick;dist.thick;butt.thick;butt.width;weight
14;OG 2062 H11/14 NØ, 89 lodret;"MVM; JBP";14;;Hoejgaard;DK;Bromme;;;5;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;65.5;20.4;8;7.3;3.6;7.1;16.9;11.14
15;ZV 13/16 SØ;"MVM; JBP";15;;Hoejgaard;DK;Bromme;;;2;20;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;59.8;19.7;6.6;5.7;1.6;4;10.7;10.69
16;TR 2062 H14/15 NV;"MVM; JBP";16;;Hoejgaard;DK;Bromme;;;4;30;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;60.1;20.1;8.1;11.7;6.8;4.8;8.6;17.68
17;PF 2062 H12/14 SV;"MVM; JBP";17;;Hoejgaard;DK;Bromme;;;4;20;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;54.9;22;2.7;5.5;8.2;1.3;4.4;6.8
18;ZX 13/16 SØ;"MVM; JBP";18;;Hoejgaard;DK;Bromme;;;2;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;54.4;18;7.4;6.4;3.2;2.3;6.6;5.43
19;KR 2062 12/15 NØ;"MVM; JBP";19;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;44.1;20.3;6.3;5.3;3.2;2.6;4.7;5.25
20;TP 2062 H 15/13 NØ;"MVM; JBP";20;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;57.3;15.2;5;5.2;3.7;1.5;3.1;5.6
21;YC H 12/15 NV;"MVM; JBP";21;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;52.5;19.6;3.1;3.3;2;1.7;3.6;2.7
22;UO 2062 H 12/14 NV;"MVM; JBP";22;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;39.8;13.3;4.4;4.7;4.8;2.8;5.2;3.43
23;PD 2062 11/15 NØ 32 vandret;"MVM; JBP";23;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;47.4;20.2;4.9;4;1.9;2.7;6.6;3.36
24;LX 2062 H 12/14 NV;"MVM; JBP";24;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;41;11.8;3.4;3.2;2.4;3.2;8.4;1.69
25;41S13;"MVM; JBP";25;;Hoejgaard;DK;Bromme;;;2;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;73.5;35.5;11.7;8.4;2.8;7.5;23.9;24.33
26;108S1;"MVM; JBP";26;;Hoejgaard;DK;Bromme;;;2;30;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;84.1;26.5;7.5;7.9;1.5;3.9;9.8;21.32
27;108S9;"MVM; JBP";27;;Hoejgaard;DK;Bromme;;;4;30;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;63.8;27.6;8.6;7.6;6.3;5.9;15.5;12.88
28;89S3;"MVM; JBP";28;;Hoejgaard;DK;Bromme;;;4;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;67.1;29.7;12.9;11.4;4.2;8.1;19.1;23.92
29;88S2;"MVM; JBP";29;;Hoejgaard;DK;Bromme;;;4;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;71.2;26.5;10.5;10.8;4.8;7;16;22.22
30;75S5;"MVM; JBP";30;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;74.4;21;4;4.1;1.5;2.4;6.2;50.6
31;87S20;"MVM; JBP";31;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;79.4;25.4;5.1;6.1;1.7;4;7.7;9.81
32;73P5;"MVM; JBP";32;;Hoejgaard;DK;Bromme;;;5;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;65.4;21.8;4;3.1;2.9;0;0;4.72
33;74S12;"MVM; JBP";33;;Hoejgaard;DK;Bromme;;;5;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;57.7;15.2;3.7;3.5;1.8;0;0;3.02
